제목,가격,e북가격,등수,연도
아주 희미한 빛으로도 (최은영 소설),15120,10620,소설 5위,2023.08.07.
도시와 그 불확실한 벽 (무라카미 하루키 장편소설),17550,12600,소설 6위,2023.09.06.
구름에 달 가리운 방금 전까지 인간이었다,14370,10584,소설 89위,2024.01.31.
요괴어사 2: 각성 (역사 판타지 소설),15390,NO,소설 128위,2023.12.18.
위시 (니컬러스 스파크스 장편소설),14970,NO,소설 81위,2023.12.01.
파친코(합본 한정판) (이민진 장편소설),23090,NO,소설 80위,2023.12.20.
해리 포터와 아즈카반의 죄수(미나리마 에디션),32490,NO,소설 64위,2023.10.03.
라디오 체조 (오쿠다 히데오 장편소설),14540,12240,소설 63위,2023.11.28.
멜랑콜리아 1-2 (2023년 노벨문학상 수상작가 욘 포세 대표작),14540,10710,소설 134위,2023.10.06.
눈에 갇힌 외딴 산장에서,16080,NO,소설 32위,2023.07.18.
아주 오래된 시에서 찾아낸 삶의 해답 (혼자라도 걱정 않는 삶),15390,NO,시/에세이 128위,2024.01.25.
메리골드 마음 사진관,15300,NO,소설 1위,2024.01.12.
지구 생물체는 항복하라 (정보라 연작소설집),15120,NO,소설 20위,2024.01.29.
완전 부부 범죄,13260,9720,소설 127위,2024.01.18.
전생했더니 슬라임이었던 건에 대하여 21 (S Novel+),10260,NO,소설 111위,2024.01.18.
명탐정의 창자,14970,12600,소설 132위,2024.01.31.
속임수의 섬,15390,11340,소설 61위,2024.01.29.
사라진 것들 (앤드루 포터 소설),16200,11340,소설 11위,2024.01.15.
격정세계 (찬쉐 장편소설),17100,NO,소설 125위,2024.01.31.
약사의 혼잣말 13 (카니발 플러스),7700,NO,소설 149위,2024.01.10.
매니악,15390,12150,소설 92위,2024.01.26.
듄의 세계 (『듄』에 영감을 준 모든 것들),19800,11200,소설 105위,2024.01.04.
프랭키,14370,NO,소설 37위,2024.01.30.
조릿대 베개,15120,NO,소설 97위,2024.01.31.
금단의 마술,16920,NO,소설 17위,2024.02.02.
호밀밭의 파수꾼,8550,NO,소설 57위,2023.01.17.
이처럼 사소한 것들,12420,NO,소설 2위,2023.11.27.
돌연한 출발 (프란츠 카프카 단편선),13680,10080,소설 68위,2023.04.07.
작은 책방,15390,11340,소설 79위,2023.12.21.
왜 나는 너를 사랑하는가(70만 부 기념 리커버),11970,8820,소설 33위,2022.11.10.
