제목,가격,e북가격,연도,등수
아주 희미한 빛으로도 (최은영 소설),15120,10620,2023.08.07.,소설 5위
도시와 그 불확실한 벽 (무라카미 하루키 장편소설),17550,12600,2023.09.06.,소설 6위
페어워닝 (마이클 코넬리 장편소설),18810, ,2024.01.23.,소설 119위
구름에 달 가리운 방금 전까지 인간이었다,14370,10584,2024.01.31.,소설 144위
요괴어사 2: 각성 (역사 판타지 소설),15390, ,2023.12.18.,소설 104위
미들마치 1,15390,11340,2024.01.15.,소설 139위
위시 (니컬러스 스파크스 장편소설),14970, ,2023.12.01.,소설 100위
파친코(합본 한정판) (이민진 장편소설),23090, ,2023.12.20.,소설 62위
해리 포터와 아즈카반의 죄수(미나리마 에디션),32490, ,2023.10.03.,소설 94위
라디오 체조 (오쿠다 히데오 장편소설),14540,12240,2023.11.28.,소설 66위
아주 오래된 시에서 찾아낸 삶의 해답 (혼자라도 걱정 않는 삶),15390, ,2024.01.25.,시/에세이 143위
눈에 갇힌 외딴 산장에서,16080, ,2023.07.18.,소설 35위
꿀벌의 예언 2 (베르나르 베르베르 장편소설),14370,12150,2023.06.22.,소설 140위
메리골드 마음 사진관,15300, ,2024.01.12.,소설 1위
지구 생물체는 항복하라 (정보라 연작소설집),14370, ,2024.01.29.,소설 33위
완전 부부 범죄,13260,9720,2024.01.18.,소설 120위
전생했더니 슬라임이었던 건에 대하여 21 (S Novel+),10260, ,2024.01.18.,소설 103위
명탐정의 창자,14970,12600,2024.01.31.,소설 93위
속임수의 섬,15390,11340,2024.01.29.,소설 65위
사라진 것들 (앤드루 포터 소설),16200,11340,2024.01.15.,소설 10위
약사의 혼잣말 13 (카니발 플러스),7700, ,2024.01.10.,소설 107위
매니악,15390,12150,2024.01.26.,소설 128위
듄의 세계 (『듄』에 영감을 준 모든 것들),19800,11200,2024.01.04.,소설 80위
프랭키,14370, ,2024.01.30.,소설 76위
조릿대 베개,15120, ,2024.01.31.,소설 118위
금단의 마술,16920, ,2024.02.02.,소설 44위
호밀밭의 파수꾼,8550, ,2023.01.17.,소설 56위
이처럼 사소한 것들,12420, ,2023.11.27.,소설 2위
돌연한 출발 (프란츠 카프카 단편선),13680,10080,2023.04.07.,소설 58위
작은 책방,15390,11340,2023.12.21.,소설 85위
왜 나는 너를 사랑하는가(70만 부 기념 리커버),11970,8820,2022.11.10.,소설 29위
파친코 2 (이민진 장편소설│애플TV 드라마 '파친코' 원작),13510,11250,2022.08.25.,소설 102위
파친코 1 (이민진 장편소설│애플TV 드라마 '파친코' 원작),13510,11250,2022.08.05.,소설 147위
꿰맨 눈의 마을 (조예은 소설),11110,8190,2023.12.15.,소설 108위
나미야 잡화점의 기적(무선 보급판) (히가시노 게이고 장편소설),12400,9000,2022.12.19.,소설 86위
귀신들의 땅 (천쓰홍 장편소설),15390,11340,2023.12.29.,소설 19위
단 한 사람 (최진영 장편소설),10800, ,2023.09.30.,소설 39위
데미안,7200, ,2009.01.20.,소설 17위
인간 실격,8100, ,2012.04.10.,소설 15위
말하고 싶은 비밀 (영화 '말하고 싶은 비밀' 원작),13260,9765,2023.12.08.,소설 57위
아주 희미한 빛으로도 (최은영 소설),15120,10620,2023.08.07.,소설 5위
도시와 그 불확실한 벽 (무라카미 하루키 장편소설),17550,12600,2023.09.06.,소설 6위
페어워닝 (마이클 코넬리 장편소설),18810, ,2024.01.23.,소설 119위
구름에 달 가리운 방금 전까지 인간이었다,14370,10584,2024.01.31.,소설 144위
요괴어사 2: 각성 (역사 판타지 소설),15390, ,2023.12.18.,소설 104위
미들마치 1,15390,11340,2024.01.15.,소설 139위
위시 (니컬러스 스파크스 장편소설),14970, ,2023.12.01.,소설 100위
파친코(합본 한정판) (이민진 장편소설),23090, ,2023.12.20.,소설 62위
해리 포터와 아즈카반의 죄수(미나리마 에디션),32490, ,2023.10.03.,소설 94위
라디오 체조 (오쿠다 히데오 장편소설),14540,12240,2023.11.28.,소설 66위
