제목,가격,e북가격,연도,등수
마흔에 읽는 쇼펜하우어 (마음의 위기를 다스리는 철학 수업),15300,12150,2023.09.07.,인문 1위
남에게 보여주려고 인생을 낭비하지 마라 (쇼펜하우어 소품집),15750,10800,2023.10.30.,인문 2위
헤르만 헤세의 나로 존재하는 법,18810, ,2024.02.06.,인문 136위
인생의 태도 (행복한 이기주의자로 평생 살아보니 알게 된 것들),15140,12744,2024.01.08.,인문 68위
헤테로토피아,11120, ,2023.12.11.,인문 138위
미움받을 용기 2(200만 부 기념 스페셜 에디션) (사랑과 진정한 자립에 대한 아들러의 가르침),13600,11430,2022.12.28.,인문 150위
쇼펜하우어 아포리즘: 당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 (쇼펜하우어 아포리즘),15750,10584,2023.06.21.,인문 7위
이토록 멋진 인생이라니 (모리가 화요일에 다하지 못한 마지막 이야기),16080,12510,2023.11.24.,인문 61위
쇼펜하우어의 인생 수업 (살아갈 힘을 주는 쇼펜하우어 아포리즘),12740,8050,2023.11.24.,인문 39위
인간다움 (인간다운 삶을 지탱하는 3가지 기준),16930,14260,2023.11.29.,인문 122위
