제목,가격,e북가격,연도,등수
아주 희미한 빛으로도 (최은영 소설),15120,10620,2023.08.07.,소설 5위
도시와 그 불확실한 벽 (무라카미 하루키 장편소설),17550,12600,2023.09.06.,소설 6위
구름에 달 가리운 방금 전까지 인간이었다,14370,10584,2024.01.31.,소설 89위
요괴어사 2: 각성 (역사 판타지 소설),15390, ,2023.12.18.,소설 128위
위시 (니컬러스 스파크스 장편소설),14970, ,2023.12.01.,소설 81위
파친코(합본 한정판) (이민진 장편소설),23090, ,2023.12.20.,소설 80위
해리 포터와 아즈카반의 죄수(미나리마 에디션),32490, ,2023.10.03.,소설 64위
라디오 체조 (오쿠다 히데오 장편소설),14540,12240,2023.11.28.,소설 63위
멜랑콜리아 1-2 (2023년 노벨문학상 수상작가 욘 포세 대표작),14540,10710,2023.10.06.,소설 134위
눈에 갇힌 외딴 산장에서,16080, ,2023.07.18.,소설 32위
아주 오래된 시에서 찾아낸 삶의 해답 (혼자라도 걱정 않는 삶),15390, ,2024.01.25.,시/에세이 128위
메리골드 마음 사진관,15300, ,2024.01.12.,소설 1위
지구 생물체는 항복하라 (정보라 연작소설집),15120, ,2024.01.29.,소설 20위
완전 부부 범죄,13260,9720,2024.01.18.,소설 127위
전생했더니 슬라임이었던 건에 대하여 21 (S Novel+),10260, ,2024.01.18.,소설 111위
명탐정의 창자,14970,12600,2024.01.31.,소설 132위
속임수의 섬,15390,11340,2024.01.29.,소설 61위
사라진 것들 (앤드루 포터 소설),16200,11340,2024.01.15.,소설 11위
격정세계 (찬쉐 장편소설),17100, ,2024.01.31.,소설 125위
약사의 혼잣말 13 (카니발 플러스),7700, ,2024.01.10.,소설 149위
매니악,15390,12150,2024.01.26.,소설 92위
듄의 세계 (『듄』에 영감을 준 모든 것들),19800,11200,2024.01.04.,소설 105위
프랭키,14370, ,2024.01.30.,소설 37위
조릿대 베개,15120, ,2024.01.31.,소설 97위
금단의 마술,16920, ,2024.02.02.,소설 17위
호밀밭의 파수꾼,8550, ,2023.01.17.,소설 57위
이처럼 사소한 것들,12420, ,2023.11.27.,소설 2위
돌연한 출발 (프란츠 카프카 단편선),13680,10080,2023.04.07.,소설 68위
작은 책방,15390,11340,2023.12.21.,소설 79위
왜 나는 너를 사랑하는가(70만 부 기념 리커버),11970,8820,2022.11.10.,소설 33위
꿰맨 눈의 마을 (조예은 소설),11110,8190,2023.12.15.,소설 95위
나미야 잡화점의 기적(무선 보급판) (히가시노 게이고 장편소설),12400,9000,2022.12.19.,소설 88위
귀신들의 땅 (천쓰홍 장편소설),15390,11340,2023.12.29.,소설 28위
단 한 사람 (최진영 장편소설),10800, ,2023.09.30.,소설 38위
데미안,7200, ,2009.01.20.,소설 16위
인간 실격,8100, ,2012.04.10.,소설 13위
말하고 싶은 비밀 (영화 '말하고 싶은 비밀' 원작),13260,9765,2023.12.08.,소설 47위
날씨가 좋으면 찾아가겠어요 (이도우 장편소설),14540,10710,2023.11.22.,소설 106위
참을 수 없는 존재의 가벼움 (국내 출간 30주년 기념 특별판),15300, ,2018.06.20.,소설 22위
7인 1역,13950, ,2023.12.01.,소설 27위
아주 희미한 빛으로도 (최은영 소설),15120,10620,2023.08.07.,소설 5위
도시와 그 불확실한 벽 (무라카미 하루키 장편소설),17550,12600,2023.09.06.,소설 6위
구름에 달 가리운 방금 전까지 인간이었다,14370,10584,2024.01.31.,소설 89위
요괴어사 2: 각성 (역사 판타지 소설),15390, ,2023.12.18.,소설 128위
위시 (니컬러스 스파크스 장편소설),14970, ,2023.12.01.,소설 81위
파친코(합본 한정판) (이민진 장편소설),23090, ,2023.12.20.,소설 80위
해리 포터와 아즈카반의 죄수(미나리마 에디션),32490, ,2023.10.03.,소설 64위
라디오 체조 (오쿠다 히데오 장편소설),14540,12240,2023.11.28.,소설 63위
멜랑콜리아 1-2 (2023년 노벨문학상 수상작가 욘 포세 대표작),14540,10710,2023.10.06.,소설 134위
눈에 갇힌 외딴 산장에서,16080, ,2023.07.18.,소설 32위
아주 오래된 시에서 찾아낸 삶의 해답 (혼자라도 걱정 않는 삶),15390, ,2024.01.25.,시/에세이 128위
메리골드 마음 사진관,15300, ,2024.01.12.,소설 1위
지구 생물체는 항복하라 (정보라 연작소설집),15120, ,2024.01.29.,소설 20위
완전 부부 범죄,13260,9720,2024.01.18.,소설 127위
전생했더니 슬라임이었던 건에 대하여 21 (S Novel+),10260, ,2024.01.18.,소설 111위
명탐정의 창자,14970,12600,2024.01.31.,소설 132위
속임수의 섬,15390,11340,2024.01.29.,소설 61위
사라진 것들 (앤드루 포터 소설),16200,11340,2024.01.15.,소설 11위
격정세계 (찬쉐 장편소설),17100, ,2024.01.31.,소설 125위
약사의 혼잣말 13 (카니발 플러스),7700, ,2024.01.10.,소설 149위
