제목,가격,e북가격,연도,등수
원피스 107: 전설의 영웅 (전설의 영웅),4950,2700,2024.01.31.,만화 2위
주술회전 22 (사쿠라지마 콜로니 -환생-),5130,2700,2023.05.25.,만화 26위
쇼타 형아 4 (BLovers Comics),5560, ,2024.01.30.,만화 80위
쇼타 형아 4(특장판) (소책자 + 아크릴 만년 캘린더 + 양면 일러스트 카드(초판 특전) + 폴라로이드형 카드(초판 특전)),22500, ,2024.01.31.,만화 117위
원티드(Wanted)! Eiichiro Oda 단편집 (EIICHIRO ODA 단편집),5400,3150,2024.01.31.,만화 48위
