제목,가격,e북가격,연도,등수
마흔에 읽는 쇼펜하우어 (마음의 위기를 다스리는 철학 수업),15300,12150,2023.09.07.,인문 1위
남에게 보여주려고 인생을 낭비하지 마라 (쇼펜하우어 소품집),15750,10800,2023.10.30.,인문 2위
인생의 태도 (행복한 이기주의자로 평생 살아보니 알게 된 것들),15140,12744,2024.01.08.,인문 86위
문과 남자의 과학 공부 (나는 무엇이고 왜 존재하며 어디로 가는가?),15750,11250,2023.06.23.,인문 25위
이토록 멋진 인생이라니 (모리가 화요일에 다하지 못한 마지막 이야기),16080,12510,2023.11.24.,인문 52위
미움받을 용기 2(200만 부 기념 스페셜 에디션) (사랑과 진정한 자립에 대한 아들러의 가르침),13600,11430,2022.12.28.,인문 112위
인간다움 (인간다운 삶을 지탱하는 3가지 기준),16930,14260,2023.11.29.,인문 146위
쇼펜하우어 아포리즘: 당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 (쇼펜하우어 아포리즘),15750,10584,2023.06.21.,인문 6위
쇼펜하우어의 인생 수업 (살아갈 힘을 주는 쇼펜하우어 아포리즘),12740,8050,2023.11.24.,인문 53위
삶이 괴로울 땐 공부를 시작하는 것이 좋다 (일상을 연구하는 과학자가 발견한 사는 게 재밌어지는 가장 신박한 방법),14970, ,2023.12.20.,인문 75위
"사피엔스 (유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문)",24120,15750,2023.04.01.,인문 20위
고통 구경하는 사회 (우리는 왜 불행과 재난에서 눈을 떼지 못하는가),14970,11025,2023.10.15.,인문 105위
군주론,14540,10800,2023.10.16.,인문 22위
내가 틀릴 수도 있습니다(토마스 산체스 에디션) (숲속의 현자가 전하는 마지막 인생 수업),14400, ,2024.01.08.,인문 17위
호모 데우스 (미래의 역사),19800,15750,2023.08.01.,인문 133위
돈으로 살 수 없는 것들 (무엇이 가치를 결정하는가),13680,10080,2012.04.24.,인문 115위
"내 문장이 그렇게 이상한가요? (내가 쓴 글, 내가 다듬는 법)",11970,7560,2016.01.24.,인문 76위
총 균 쇠(출간 25주년 기념 양장판) (인간 사회의 운명을 바꾼 힘),32220, ,2023.08.10.,역사 8위
벌써 마흔이 된 딸에게 (어떻게 살아야 하느냐고 묻는다면),16200,11700,2024.01.24.,인문 12위
"도둑맞은 집중력 (집중력 위기의 시대, 삶의 주도권을 되찾는 법)",16920,12600,2023.04.28.,인문 3위
스토킹 (신인류의 범죄),15390, ,2024.01.03.,사회/정치 91위
"벌거벗은 정신력 (행복을 도둑맞은 시대, 마음의 면역력을 되찾는 법)",15820,12600,2024.01.24.,인문 24위
"죽음이 물었다, 어떻게 살 거냐고 (찬란한 생의 끝에 만난 마지막 문장들)",16020,11250,2023.12.25.,인문 7위
형식과 영향력 (자기만의 범주를 만드는 글쓰기에 관하여),16250, ,2024.01.26.,인문 131위
"당신이 만나야 할 단 하나의 논어 (혼돈의 시대, 생의 처음이자 마지막 고전)",16920, ,2024.01.30.,인문 8위
"바닐라 젠의 점, 점입가경",28220, ,2024.01.25.,인문 108위
강원국의 인생 공부 (무엇을 위해 살 것인가),16930,13500,2024.01.10.,인문 48위
미움받을 용기(200만 부 기념 스페셜 에디션) (자유롭고 행복한 삶을 위한 아들러의 가르침),13600,11430,2022.12.28.,인문 27위
지긋지긋한 사람을 죽이지 않고 없애는 법,15390,11340,2024.01.10.,인문 135위
나의 미국 인문 기행,16200, ,2024.01.19.,인문 37위
사피엔스(양장 특별판),25650, ,2023.01.27.,인문 85위
