제목,가격,e북가격,연도,등수
손실 없는 투자 원칙 (대한민국 최상위 슈퍼개미의 저점매수 고점매도),17100,12600,2023.10.30.,경제/경영 32위
"K 반도체 대전략 (위기와 기회가 공존하는 다음 10년, 대한민국은 어떻게 반도체 초강국이 될 것인가)",18810,13860,2024.01.17.,경제/경영 120위
더 커밍 웨이브 (딥마인드의 창조자가 말하는 AI와 인류의 새로운 미래),22500,15750,2024.01.11.,경제/경영 24위
조건검색을 이용한 주식 자동매매 완전정복 (개인투자자용 주식 자동매매 시스템 구축을 위한 완벽 입문서),17100, ,2023.12.11.,경제/경영 122위
"부의 추월차선 (10주년 스페셜 에디션,부자들이 말해 주지 않는 진정한 부를 얻는 방법)",15750,10800,2022.02.04.,경제/경영 11위
주주 권리가 없는 나라 (왜 한국 주식시장은 공정과 상식이 작동하지 않는가),14970, ,2024.01.19.,경제/경영 65위
일론 머스크,32490,27360,2023.09.13.,경제/경영 57위
"돈, 뜨겁게 사랑하고 차갑게 다루어라",10260,8640,2023.09.21.,경제/경영 45위
월가의 영웅 (주식투자에서 상식으로 성공하는 법),22230,16380,2021.07.30.,경제/경영 53위
완벽한 자유와 부를 만드는 인생투자 (당신의 투자에 꺾이지 않는 힘을 실어줄 반등의 철학),16930,12510,2023.09.19.,경제/경영 63위
트렌드 코리아 2024 (2024 대한민국 소비트렌드 전망),17100, ,2023.10.12.,경제/경영 4위
마케팅이다 (세스 고딘의),12600,11340,2019.04.05.,경제/경영 149위
세계미래보고서 2024-2034 (모든 산업을 지배할 인공일반지능이 온다),16680,12600,2023.11.25.,경제/경영 67위
숫자를 몰라도 내 주식은 오른다 (40년 투자 대가 샤프슈터와 딸의 금융 수업),17960,15120,2024.01.22.,경제/경영 42위
시대예보: 핵개인의 시대(10만 부 기념 스페셜 에디션),18900,13500,2024.01.15.,경제/경영 10위
퍼스널 MBA(10주년 기념 증보판) (비즈니스 성공의 불변법칙 경영의 멘탈모델을 배운다!),31950, ,2024.01.25.,경제/경영 1위
레버리지 (자본주의 속에 숨겨진 부의 비밀),16200,6300,2023.02.15.,경제/경영 7위
부자 아빠 가난한 아빠 1 (20주년 특별 기념판) (개정증보판),15300, ,2022.10.28.,경제/경영 15위
돈은 너로부터다 (부를 묻자 돈의 신이 답했다),16250, ,2023.05.10.,경제/경영 133위
"똑똑한 사람은 어떻게 생각하고 질문하는가 (사고력 실종의 시대, 앞서가는 사람의 생존 전략)",17820, ,2024.01.24.,자기계발 8위
