item,price,도착예정
"GOT MILK 믈레코비타 갓밀크, 1L, 1개","1,900원",모레(목) 도착 예정
"곰곰 우유식빵, 330g, 1개","1,940원",내일(수) 새벽 도착 보장
"차오코 코코넛밀크, 250ml, 1개","2,180원",내일(수) 도착 보장
"곰곰 신선한 우유, 900ml, 1개","2,260원",내일(수) 새벽 도착 보장
"곰곰 우유 가득 식빵, 350g, 1개","2,460원",내일(수) 새벽 도착 보장
"곰곰 통밀식빵, 420g, 1개","2,460원",내일(수) 새벽 도착 보장
"곰곰 with 덴마크 전용목장 우유, 900ml, 1개","2,550원",내일(수) 새벽 도착 보장
"소와나무 쿨피스 자두, 930ml, 3개","2,820원",내일(수) 새벽 도착 보장
"남양유업 맛있는 우유 GT, 900ml, 1개","2,970원",내일(수) 새벽 도착 보장
"덴마크 그린덴마크 아몬드, 950ml, 1개","3,060원",내일(수) 도착 보장
