item,price,도착예정
"참군고구마바, 22g, 1개",990원,내일(수) 새벽 도착 보장
"한입 호박고구마, 500g, 1개","3,390원",내일(수) 새벽 도착 보장
"곰곰 치즈 품은 국산 고구마, 140g, 1개","3,500원",내일(수) 새벽 도착 보장
"친환경 영암 한입 고구마, 500g, 1개","3,880원",내일(수) 새벽 도착 보장
"뉴감자스틱 자색고구마스틱 신콩칩(카사바칩) 양파스틱 4종 골라담기, 자색고구마스틱 200g 1봉, 200g, 1개","4,900원",모레(목) 도착 예정
"곰곰 햇 꿀고구마 700g, 1개","5,240원",내일(수) 새벽 도착 보장
"참군고구마바, 22g, 1개",990원,내일(수) 새벽 도착 보장
"오사쯔, 60g, 3개","5,570원",1/31 도착 예정
"맛있는 밤고구마, 1박스, 1.5kg","5,980원",내일(수) 새벽 도착 보장
"국내산 고구마(중), 1kg, 1개","5,990원",내일(수) 새벽 도착 보장
