N,종목명,현재가,전일비,등락률,액면가,시가총액(억원),상장주식수,외국인비율,거래량,PER,ROE,토론실
74,현대오토에버,"179,300","3,300",-1.81%,500,"49,171","27,424",3.18,"43,630",33.11,8.00,
75,SK바이오사이언스,"63,700",900,+1.43%,500,"48,939","76,828",6.04,"30,041",105.81,N/A,
76,넷마블,"56,600","1,100",+1.98%,100,"48,650","85,954",23.82,"35,239",-9.80,-14.56,
77,유한양행,"60,200",600,+1.01%,"1,000","48,286","80,209",19.81,"104,003",55.59,4.86,
78,금양,"82,400",600,-0.72%,500,"47,833","58,050",8.75,"406,845",-84.43,-24.34,
79,삼성엔지니어링,"24,050",650,+2.78%,"5,000","47,138","196,000",50.35,"195,822",5.34,28.32,
80,두산밥캣,"45,650",800,+1.78%,500,"45,764","100,249",40.20,"116,696",4.63,13.78,
81,KODEX KOFR금리액티브(합성),"105,590",5,0.00%,0,"45,382","42,979",0.00,"13,087",N/A,N/A,
82,CJ제일제당,"289,500","3,000",+1.05%,"5,000","43,582","15,054",23.09,"8,864",14.59,9.26,
83,현대제철,"32,600",400,+1.24%,"5,000","43,503","133,446",26.24,"74,114",11.45,5.56,
84,코스모신소재,"133,500",500,+0.38%,"1,000","43,402","32,511",13.58,"75,611",215.67,12.13,
85,LG유플러스,"9,730",20,-0.21%,"5,000","42,482","436,611",38.36,"318,316",6.19,8.37,
86,엔씨소프트,"192,500","4,300",+2.28%,500,"42,261","21,954",39.51,"53,254",27.52,13.73,
87,한미약품,"327,000","1,500",+0.46%,"2,500","41,892","12,811",16.31,"15,957",31.90,9.89,
88,코웨이,"56,300",800,+1.44%,500,"41,549","73,800",61.16,"26,025",9.32,21.72,
89,미래에셋증권,"6,580",150,+2.33%,"5,000","39,830","605,316",13.18,"184,018",9.36,6.17,
90,현대차2우B,"109,900",600,+0.55%,"5,000","39,697","36,121",61.28,"12,689",2.64,N/A,
91,GS,"41,100",500,+1.23%,"5,000","38,188","92,915",23.75,"59,986",2.82,18.86,
92,삼성카드,"32,050",100,+0.31%,"5,000","37,133","115,859",6.19,"10,799",6.23,8.08,
93,오리온,"92,800","3,100",+3.46%,500,"36,690","39,536",37.29,"335,424",8.58,16.47,
94,HD현대일렉트릭,"100,100",500,-0.50%,"5,000","36,083","36,047",22.13,"159,439",21.67,22.13,
95,현대건설,"31,850",200,-0.62%,"5,000","35,467","111,356",23.04,"341,447",10.91,5.49,
96,한화시스템,"17,690",870,-4.69%,"5,000","33,420","188,919",5.00,"1,214,815",12.88,-3.63,
97,NH투자증권,"9,940",100,+1.02%,"5,000","32,968","331,666",15.97,"118,555",6.49,4.32,
98,한온시스템,"6,170",200,+3.35%,100,"32,935","533,800",16.00,"291,958",43.45,0.89,
99,강원랜드,"14,980",20,+0.13%,500,"32,048","213,940",13.59,"131,784",11.59,3.47,

